Year,State,Population
2017,United States,329791231
2016,United States,327210198
2015,United States,324607776
2014,United States,322033964
2013,United States,319375166
2012,United States,316651321
2011,United States,313876608
2010,United States,311182845
2009,United States,308512035
2008,United States,305694910
2007,United States,302743399
2006,United States,299753098
2005,United States,296842670
2004,United States,293947885
2003,United States,291109820
2002,United States,288350252
2001,United States,285470493
2000,United States,282398554
1999,United States,279181581
1999,Alabama,4430141
2000,Alabama,4452173
2001,Alabama,4467634
2002,Alabama,4480089
2003,Alabama,4503491
2004,Alabama,4530729
2005,Alabama,4569805
2006,Alabama,4628981
2007,Alabama,4672840
2008,Alabama,4718206
2009,Alabama,4757938
2010,Alabama,4785579
2011,Alabama,4798649
2012,Alabama,4813946
2013,Alabama,4827660
2014,Alabama,4840037
2015,Alabama,4850858
2016,Alabama,4860545
2017,Alabama,4874747
,Alabama,88864048
1999,Alaska,624779
2000,Alaska,627963
2001,Alaska,633714
2002,Alaska,642337
2003,Alaska,648414
2004,Alaska,659286
2005,Alaska,666946
2006,Alaska,675302
2007,Alaska,680300
2008,Alaska,687455
2009,Alaska,698895
2010,Alaska,714015
2011,Alaska,722259
2012,Alaska,730825
2013,Alaska,736760
2014,Alaska,736759
2015,Alaska,737979
2016,Alaska,741522
2017,Alaska,739795
,Alaska,13105305
1999,Arizona,5023823
2000,Arizona,5160586
2001,Arizona,5273477
2002,Arizona,5396255
2003,Arizona,5510364
2004,Arizona,5652404
2005,Arizona,5839077
2006,Arizona,6029141
2007,Arizona,6167681
2008,Arizona,6280362
2009,Arizona,6343154
2010,Arizona,6407002
2011,Arizona,6465488
2012,Arizona,6544211
2013,Arizona,6616124
2014,Arizona,6706435
2015,Arizona,6802262
2016,Arizona,6908642
2017,Arizona,7016270
,Arizona,116142758
1999,Arkansas,2651860
2000,Arkansas,2678588
2001,Arkansas,2691571
2002,Arkansas,2705927
2003,Arkansas,2724816
2004,Arkansas,2749686
2005,Arkansas,2781097
2006,Arkansas,2821761
2007,Arkansas,2848650
2008,Arkansas,2874554
2009,Arkansas,2896843
2010,Arkansas,2921737
2011,Arkansas,2938640
2012,Arkansas,2949208
2013,Arkansas,2956780
2014,Arkansas,2964800
2015,Arkansas,2975626
2016,Arkansas,2988231
2017,Arkansas,3004279
,Arkansas,54124654
1999,California,33499204
2000,California,33987977
2001,California,34479458
2002,California,34871843
2003,California,35253159
2004,California,35574576
2005,California,35827943
2006,California,36021202
2007,California,36250311
2008,California,36604337
2009,California,36961229
2010,California,37327690
2011,California,37672654
2012,California,38019006
2013,California,38347383
2014,California,38701278
2015,California,39032444
2016,California,39296476
2017,California,39536653
,California,697264823
1999,Colorado,4226018
2000,Colorado,4326921
2001,Colorado,4425687
2002,Colorado,4490406
2003,Colorado,4528732
2004,Colorado,4575013
2005,Colorado,4631888
2006,Colorado,4720423
2007,Colorado,4803868
2008,Colorado,4889730
2009,Colorado,4972195
2010,Colorado,5048029
2011,Colorado,5116411
2012,Colorado,5186330
2013,Colorado,5262556
2014,Colorado,5342311
2015,Colorado,5440445
2016,Colorado,5530105
2017,Colorado,5607154
,Colorado,93124222
1999,Connecticut,3386401
2000,Connecticut,3411777
2001,Connecticut,3432835
2002,Connecticut,3458749
2003,Connecticut,3484336
2004,Connecticut,3496094
2005,Connecticut,3506956
2006,Connecticut,3517460
2007,Connecticut,3527270
2008,Connecticut,3545579
2009,Connecticut,3561807
2010,Connecticut,3580171
2011,Connecticut,3591927
2012,Connecticut,3597705
2013,Connecticut,3602470
2014,Connecticut,3600188
2015,Connecticut,3593862
2016,Connecticut,3587685
2017,Connecticut,3588184
,Connecticut,67071456
1999,Delaware,774990
2000,Delaware,786373
2001,Delaware,795699
2002,Delaware,806169
2003,Delaware,818003
2004,Delaware,830803
2005,Delaware,845150
2006,Delaware,859268
2007,Delaware,871749
2008,Delaware,883874
2009,Delaware,891730
2010,Delaware,899712
2011,Delaware,907884
2012,Delaware,916868
2013,Delaware,925114
2014,Delaware,934805
2015,Delaware,944107
2016,Delaware,952698
2017,Delaware,961939
,Delaware,16606935
1999,District of Columbia,570213
2000,District of Columbia,572046
2001,District of Columbia,574504
2002,District of Columbia,573158
2003,District of Columbia,568502
2004,District of Columbia,567754
2005,District of Columbia,567136
2006,District of Columbia,570681
2007,District of Columbia,574404
2008,District of Columbia,580236
2009,District of Columbia,592228
2010,District of Columbia,605040
2011,District of Columbia,620336
2012,District of Columbia,635630
2013,District of Columbia,650114
2014,District of Columbia,660797
2015,District of Columbia,672736
2016,District of Columbia,684336
2017,District of Columbia,693972
,District of Columbia,11533823
1999,Florida,15759421
2000,Florida,16047515
2001,Florida,16356966
2002,Florida,16689370
2003,Florida,17004085
2004,Florida,17415318
2005,Florida,17842038
2006,Florida,18166990
2007,Florida,18367842
2008,Florida,18527305
2009,Florida,18652644
2010,Florida,18846461
2011,Florida,19097369
2012,Florida,19341327
2013,Florida,19584927
2014,Florida,19897747
2015,Florida,20268567
2016,Florida,20656589
2017,Florida,20984400
,Florida,349506881
1999,Georgia,8045965
2000,Georgia,8227303
2001,Georgia,8377038
2002,Georgia,8508256
2003,Georgia,8622793
2004,Georgia,8769252
2005,Georgia,8925922
2006,Georgia,9155813
2007,Georgia,9349988
2008,Georgia,9504843
2009,Georgia,9620846
2010,Georgia,9712696
2011,Georgia,9810595
2012,Georgia,9911171
2013,Georgia,9981773
2014,Georgia,10083850
2015,Georgia,10199533
2016,Georgia,10313620
2017,Georgia,10429379
,Georgia,177550636
1999,Hawaii,1210300
2000,Hawaii,1213519
2001,Hawaii,1225948
2002,Hawaii,1239613
2003,Hawaii,1251154
2004,Hawaii,1273569
2005,Hawaii,1292729
2006,Hawaii,1309731
2007,Hawaii,1315675
2008,Hawaii,1332213
2009,Hawaii,1346717
2010,Hawaii,1363817
2011,Hawaii,1378323
2012,Hawaii,1392772
2013,Hawaii,1408038
2014,Hawaii,1417710
2015,Hawaii,1426320
2016,Hawaii,1428683
2017,Hawaii,1427538
,Hawaii,25254369
1999,Idaho,1275674
2000,Idaho,1299430
2001,Idaho,1319962
2002,Idaho,1340372
2003,Idaho,1363380
2004,Idaho,1391802
2005,Idaho,1428241
2006,Idaho,1468669
2007,Idaho,1505105
2008,Idaho,1534320
2009,Idaho,1554439
2010,Idaho,1570912
2011,Idaho,1583180
2012,Idaho,1594673
2013,Idaho,1610187
2014,Idaho,1630391
2015,Idaho,1649324
2016,Idaho,1680026
2017,Idaho,1716943
,Idaho,28517030
1999,Illinois,12359020
2000,Illinois,12434161
2001,Illinois,12488445
2002,Illinois,12525556
2003,Illinois,12556006
2004,Illinois,12589773
2005,Illinois,12609903
2006,Illinois,12643955
2007,Illinois,12695866
2008,Illinois,12747038
2009,Illinois,12796778
2010,Illinois,12841196
2011,Illinois,12862298
2012,Illinois,12878494
2013,Illinois,12890403
2014,Illinois,12882438
2015,Illinois,12862051
2016,Illinois,12835726
2017,Illinois,12802023
,Illinois,241301130
1999,Indiana,6044969
2000,Indiana,6091866
2001,Indiana,6127760
2002,Indiana,6155967
2003,Indiana,6196638
2004,Indiana,6233007
2005,Indiana,6278616
2006,Indiana,6332669
2007,Indiana,6379599
2008,Indiana,6424806
2009,Indiana,6459325
2010,Indiana,6490029
2011,Indiana,6515358
2012,Indiana,6535665
2013,Indiana,6567484
2014,Indiana,6593182
2015,Indiana,6610596
2016,Indiana,6634007
2017,Indiana,6666818
,Indiana,121338361
1999,Iowa,2917634
2000,Iowa,2929067
2001,Iowa,2931997
2002,Iowa,2934234
2003,Iowa,2941999
2004,Iowa,2953635
2005,Iowa,2964454
2006,Iowa,2982644
2007,Iowa,2999212
2008,Iowa,3016734
2009,Iowa,3032870
2010,Iowa,3050223
2011,Iowa,3063690
2012,Iowa,3074386
2013,Iowa,3089876
2014,Iowa,3105563
2015,Iowa,3118473
2016,Iowa,3130869
2017,Iowa,3145711
,Iowa,57383271
1999,Kansas,2678338
2000,Kansas,2693681
2001,Kansas,2702162
2002,Kansas,2713535
2003,Kansas,2723004
2004,Kansas,2734373
2005,Kansas,2745299
2006,Kansas,2762931
2007,Kansas,2783785
2008,Kansas,2808076
2009,Kansas,2832704
2010,Kansas,2858403
2011,Kansas,2868756
2012,Kansas,2885316
2013,Kansas,2892900
2014,Kansas,2899553
2015,Kansas,2905789
2016,Kansas,2907731
2017,Kansas,2913123
,Kansas,53309459
1999,Kentucky,4018053
2000,Kentucky,4049021
2001,Kentucky,4068132
2002,Kentucky,4089875
2003,Kentucky,4117170
2004,Kentucky,4146101
2005,Kentucky,4182742
2006,Kentucky,4219239
2007,Kentucky,4256672
2008,Kentucky,4289878
2009,Kentucky,4317074
2010,Kentucky,4347948
2011,Kentucky,4368505
2012,Kentucky,4383673
2013,Kentucky,4399121
2014,Kentucky,4410415
2015,Kentucky,4422057
2016,Kentucky,4436113
2017,Kentucky,4454189
,Kentucky,80975978
1999,Louisiana,4460811
2000,Louisiana,4471885
2001,Louisiana,4477875
2002,Louisiana,4497267
2003,Louisiana,4521042
2004,Louisiana,4552238
2005,Louisiana,4576628
2006,Louisiana,4302665
2007,Louisiana,4375581
2008,Louisiana,4435586
2009,Louisiana,4491648
2010,Louisiana,4544871
2011,Louisiana,4574388
2012,Louisiana,4602681
2013,Louisiana,4626795
2014,Louisiana,4648797
2015,Louisiana,4671211
2016,Louisiana,4686157
2017,Louisiana,4684333
,Louisiana,86202459
1999,Maine,1266808
2000,Maine,1277072
2001,Maine,1285692
2002,Maine,1295960
2003,Maine,1306513
2004,Maine,1313688
2005,Maine,1318787
2006,Maine,1323619
2007,Maine,1327040
2008,Maine,1330509
2009,Maine,1329590
2010,Maine,1327568
2011,Maine,1327968
2012,Maine,1328101
2013,Maine,1327975
2014,Maine,1328903
2015,Maine,1327787
2016,Maine,1330232
2017,Maine,1335907
,Maine,25009719
1999,Maryland,5254509
2000,Maryland,5311034
2001,Maryland,5374691
2002,Maryland,5440389
2003,Maryland,5496269
2004,Maryland,5546935
2005,Maryland,5592379
2006,Maryland,5627367
2007,Maryland,5653408
2008,Maryland,5684965
2009,Maryland,5730388
2010,Maryland,5788099
2011,Maryland,5843115
2012,Maryland,5891680
2013,Maryland,5932654
2014,Maryland,5970245
2015,Maryland,6000561
2016,Maryland,6024752
2017,Maryland,6052177
,Maryland,108215617
1999,Massachusetts,6317345
2000,Massachusetts,6361104
2001,Massachusetts,6397634
2002,Massachusetts,6417206
2003,Massachusetts,6422565
2004,Massachusetts,6412281
2005,Massachusetts,6403290
2006,Massachusetts,6410084
2007,Massachusetts,6431559
2008,Massachusetts,6468967
2009,Massachusetts,6517613
2010,Massachusetts,6564943
2011,Massachusetts,6612178
2012,Massachusetts,6659627
2013,Massachusetts,6711138
2014,Massachusetts,6757925
2015,Massachusetts,6794002
2016,Massachusetts,6823721
2017,Massachusetts,6859819
,Massachusetts,124343001
1999,Michigan,9897116
2000,Michigan,9952450
2001,Michigan,9991120
2002,Michigan,10015710
2003,Michigan,10041152
2004,Michigan,10055315
2005,Michigan,10051137
2006,Michigan,10036081
2007,Michigan,10001284
2008,Michigan,9946889
2009,Michigan,9901591
2010,Michigan,9876731
2011,Michigan,9876199
2012,Michigan,9886610
2013,Michigan,9899219
2014,Michigan,9914675
2015,Michigan,9918170
2016,Michigan,9933445
2017,Michigan,9962311
,Michigan,189157205
1999,Minnesota,4873481
2000,Minnesota,4933692
2001,Minnesota,4982796
2002,Minnesota,5018935
2003,Minnesota,5053572
2004,Minnesota,5087713
2005,Minnesota,5119598
2006,Minnesota,5163555
2007,Minnesota,5207203
2008,Minnesota,5247018
2009,Minnesota,5281203
2010,Minnesota,5310711
2011,Minnesota,5345967
2012,Minnesota,5377695
2013,Minnesota,5416074
2014,Minnesota,5452649
2015,Minnesota,5483238
2016,Minnesota,5525050
2017,Minnesota,5576606
,Minnesota,99456756
1999,Mississippi,2828408
2000,Mississippi,2848353
2001,Mississippi,2852994
2002,Mississippi,2858681
2003,Mississippi,2868312
2004,Mississippi,2889010
2005,Mississippi,2905943
2006,Mississippi,2904978
2007,Mississippi,2928350
2008,Mississippi,2947806
2009,Mississippi,2958774
2010,Mississippi,2970437
2011,Mississippi,2977452
2012,Mississippi,2982963
2013,Mississippi,2987721
2014,Mississippi,2988578
2015,Mississippi,2985297
2016,Mississippi,2985415
2017,Mississippi,2984100
,Mississippi,55653572
1999,Missouri,5561948
2000,Missouri,5607285
2001,Missouri,5641142
2002,Missouri,5674825
2003,Missouri,5709403
2004,Missouri,5747741
2005,Missouri,5790300
2006,Missouri,5842704
2007,Missouri,5887612
2008,Missouri,5923916
2009,Missouri,5961088
2010,Missouri,5995681
2011,Missouri,6010280
2012,Missouri,6023267
2013,Missouri,6041142
2014,Missouri,6058014
2015,Missouri,6072640
2016,Missouri,6091176
2017,Missouri,6113532
,Missouri,111753696
1999,Montana,897507
2000,Montana,903773
2001,Montana,906961
2002,Montana,911667
2003,Montana,919630
2004,Montana,930009
2005,Montana,940102
2006,Montana,952692
2007,Montana,964706
2008,Montana,976415
2009,Montana,983982
2010,Montana,990507
2011,Montana,996866
2012,Montana,1003522
2013,Montana,1011921
2014,Montana,1019931
2015,Montana,1028317
2016,Montana,1038656
2017,Montana,1050493
,Montana,18427657
1999,Nebraska,1704764
2000,Nebraska,1713820
2001,Nebraska,1719836
2002,Nebraska,1728292
2003,Nebraska,1738643
2004,Nebraska,1749370
2005,Nebraska,1761497
2006,Nebraska,1772693
2007,Nebraska,1783440
2008,Nebraska,1796378
2009,Nebraska,1812683
2010,Nebraska,1829956
2011,Nebraska,1841641
2012,Nebraska,1854862
2013,Nebraska,1867414
2014,Nebraska,1880920
2015,Nebraska,1893564
2016,Nebraska,1907603
2017,Nebraska,1920076
,Nebraska,34277452
1999,Nevada,1934718
2000,Nevada,2018741
2001,Nevada,2098399
2002,Nevada,2173791
2003,Nevada,2248850
2004,Nevada,2346222
2005,Nevada,2432143
2006,Nevada,2522658
2007,Nevada,2601072
2008,Nevada,2653630
2009,Nevada,2684665
2010,Nevada,2702797
2011,Nevada,2718170
2012,Nevada,2752410
2013,Nevada,2786547
2014,Nevada,2831730
2015,Nevada,2883057
2016,Nevada,2939254
2017,Nevada,2998039
,Nevada,48326893
1999,New Hampshire,1222014
2000,New Hampshire,1239882
2001,New Hampshire,1255517
2002,New Hampshire,1269089
2003,New Hampshire,1279840
2004,New Hampshire,1290121
2005,New Hampshire,1298492
2006,New Hampshire,1308389
2007,New Hampshire,1312540
2008,New Hampshire,1315906
2009,New Hampshire,1316102
2010,New Hampshire,1316700
2011,New Hampshire,1318345
2012,New Hampshire,1320923
2013,New Hampshire,1322622
2014,New Hampshire,1328684
2015,New Hampshire,1330134
2016,New Hampshire,1335015
2017,New Hampshire,1342795
,New Hampshire,24723110
1999,New Jersey,8359592
2000,New Jersey,8430621
2001,New Jersey,8492671
2002,New Jersey,8552643
2003,New Jersey,8601402
2004,New Jersey,8634561
2005,New Jersey,8651974
2006,New Jersey,8661679
2007,New Jersey,8677885
2008,New Jersey,8711090
2009,New Jersey,8755602
2010,New Jersey,8803708
2011,New Jersey,8844694
2012,New Jersey,8882095
2013,New Jersey,8913735
2014,New Jersey,8943010
2015,New Jersey,8960001
2016,New Jersey,8978416
2017,New Jersey,9005644
,New Jersey,165861023
1999,New Mexico,1808082
2000,New Mexico,1821204
2001,New Mexico,1831690
2002,New Mexico,1855309
2003,New Mexico,1877574
2004,New Mexico,1903808
2005,New Mexico,1932274
2006,New Mexico,1962137
2007,New Mexico,1990070
2008,New Mexico,2010662
2009,New Mexico,2036802
2010,New Mexico,2064607
2011,New Mexico,2077744
2012,New Mexico,2083590
2013,New Mexico,2085161
2014,New Mexico,2083207
2015,New Mexico,2082264
2016,New Mexico,2085432
2017,New Mexico,2088070
,New Mexico,37679687
1999,New York,18882725
2000,New York,19001780
2001,New York,19082838
2002,New York,19137800
2003,New York,19175939
2004,New York,19171567
2005,New York,19132610
2006,New York,19104631
2007,New York,19132335
2008,New York,19212436
2009,New York,19307066
2010,New York,19405185
2011,New York,19526372
2012,New York,19625409
2013,New York,19712514
2014,New York,19773580
2015,New York,19819347
2016,New York,19836286
2017,New York,19849399
,New York,367889819
1999,North Carolina,7949361
2000,North Carolina,8081614
2001,North Carolina,8210122
2002,North Carolina,8326201
2003,North Carolina,8422501
2004,North Carolina,8553152
2005,North Carolina,8705407
2006,North Carolina,8917270
2007,North Carolina,9118037
2008,North Carolina,9309449
2009,North Carolina,9449566
2010,North Carolina,9574247
2011,North Carolina,9662940
2012,North Carolina,9755299
2013,North Carolina,9849812
2014,North Carolina,9941160
2015,North Carolina,10041769
2016,North Carolina,10156689
2017,North Carolina,10273419
,North Carolina,174298015
1999,North Dakota,644259
2000,North Dakota,642023
2001,North Dakota,639062
2002,North Dakota,638168
2003,North Dakota,638817
2004,North Dakota,644705
2005,North Dakota,646089
2006,North Dakota,649422
2007,North Dakota,652822
2008,North Dakota,657569
2009,North Dakota,664968
2010,North Dakota,674518
2011,North Dakota,684830
2012,North Dakota,701380
2013,North Dakota,722908
2014,North Dakota,738658
2015,North Dakota,754859
2016,North Dakota,755548
2017,North Dakota,755393
,North Dakota,12905998
1999,Ohio,11335454
2000,Ohio,11363543
2001,Ohio,11387404
2002,Ohio,11407889
2003,Ohio,11434788
2004,Ohio,11452251
2005,Ohio,11463320
2006,Ohio,11481213
2007,Ohio,11500468
2008,Ohio,11515391
2009,Ohio,11528896
2010,Ohio,11539282
2011,Ohio,11543332
2012,Ohio,11546969
2013,Ohio,11567845
2014,Ohio,11593741
2015,Ohio,11606027
2016,Ohio,11622554
2017,Ohio,11658609
,Ohio,218548976
1999,Oklahoma,3437147
2000,Oklahoma,3454365
2001,Oklahoma,3467100
2002,Oklahoma,3489080
2003,Oklahoma,3504892
2004,Oklahoma,3525233
2005,Oklahoma,3548597
2006,Oklahoma,3594090
2007,Oklahoma,3634349
2008,Oklahoma,3668976
2009,Oklahoma,3717572
2010,Oklahoma,3759529
2011,Oklahoma,3785232
2012,Oklahoma,3815298
2013,Oklahoma,3849840
2014,Oklahoma,3875008
2015,Oklahoma,3904353
2016,Oklahoma,3921207
2017,Oklahoma,3930864
,Oklahoma,69882732
1999,Oregon,3393941
2000,Oregon,3429708
2001,Oregon,3467937
2002,Oregon,3513424
2003,Oregon,3547376
2004,Oregon,3569463
2005,Oregon,3613202
2006,Oregon,3670883
2007,Oregon,3722417
2008,Oregon,3768748
2009,Oregon,3808600
2010,Oregon,3837073
2011,Oregon,3865845
2012,Oregon,3893920
2013,Oregon,3919664
2014,Oregon,3960673
2015,Oregon,4016537
2016,Oregon,4085989
2017,Oregon,4142776
,Oregon,71228176
1999,Pennsylvania,12263805
2000,Pennsylvania,12284173
2001,Pennsylvania,12298970
2002,Pennsylvania,12331031
2003,Pennsylvania,12374658
2004,Pennsylvania,12410722
2005,Pennsylvania,12449990
2006,Pennsylvania,12510809
2007,Pennsylvania,12563937
2008,Pennsylvania,12612285
2009,Pennsylvania,12666858
2010,Pennsylvania,12711063
2011,Pennsylvania,12742811
2012,Pennsylvania,12768034
2013,Pennsylvania,12778450
2014,Pennsylvania,12790341
2015,Pennsylvania,12791124
2016,Pennsylvania,12787085
2017,Pennsylvania,12805537
,Pennsylvania,238941683
1999,Rhode Island,1040402
2000,Rhode Island,1050268
2001,Rhode Island,1057142
2002,Rhode Island,1065995
2003,Rhode Island,1071342
2004,Rhode Island,1074579
2005,Rhode Island,1067916
2006,Rhode Island,1063096
2007,Rhode Island,1057315
2008,Rhode Island,1055003
2009,Rhode Island,1053646
2010,Rhode Island,1053169
2011,Rhode Island,1052154
2012,Rhode Island,1052761
2013,Rhode Island,1052784
2014,Rhode Island,1054782
2015,Rhode Island,1055916
2016,Rhode Island,1057566
2017,Rhode Island,1059639
,Rhode Island,20095475
1999,South Carolina,3974682
2000,South Carolina,4024223
2001,South Carolina,4064995
2002,South Carolina,4107795
2003,South Carolina,4150297
2004,South Carolina,4210921
2005,South Carolina,4270150
2006,South Carolina,4357847
2007,South Carolina,4444110
2008,South Carolina,4528996
2009,South Carolina,4589872
2010,South Carolina,4635834
2011,South Carolina,4672744
2012,South Carolina,4719009
2013,South Carolina,4765862
2014,South Carolina,4824758
2015,South Carolina,4892423
2016,South Carolina,4959822
2017,South Carolina,5024369
,South Carolina,85218709
1999,South Dakota,750412
2000,South Dakota,755844
2001,South Dakota,757972
2002,South Dakota,760020
2003,South Dakota,763729
2004,South Dakota,770396
2005,South Dakota,775493
2006,South Dakota,783033
2007,South Dakota,791623
2008,South Dakota,799124
2009,South Dakota,807067
2010,South Dakota,816227
2011,South Dakota,823338
2012,South Dakota,832576
2013,South Dakota,842513
2014,South Dakota,849455
2015,South Dakota,854036
2016,South Dakota,861542
2017,South Dakota,869666
,South Dakota,15264066
1999,Tennessee,5638706
2000,Tennessee,5703719
2001,Tennessee,5750789
2002,Tennessee,5795918
2003,Tennessee,5847812
2004,Tennessee,5910809
2005,Tennessee,5991057
2006,Tennessee,6088766
2007,Tennessee,6175727
2008,Tennessee,6247411
2009,Tennessee,6306019
2010,Tennessee,6355882
2011,Tennessee,6396281
2012,Tennessee,6450632
2013,Tennessee,6490795
2014,Tennessee,6540007
2015,Tennessee,6590726
2016,Tennessee,6649404
2017,Tennessee,6715984
,Tennessee,117646444
1999,Texas,20558220
2000,Texas,20944499
2001,Texas,21319622
2002,Texas,21690325
2003,Texas,22030931
2004,Texas,22394023
2005,Texas,22778123
2006,Texas,23359580
2007,Texas,23831983
2008,Texas,24309039
2009,Texas,24801761
2010,Texas,25241648
2011,Texas,25644424
2012,Texas,26078327
2013,Texas,26479279
2014,Texas,26954436
2015,Texas,27454880
2016,Texas,27904862
2017,Texas,28304596
,Texas,462080558
1999,Utah,2203482
2000,Utah,2244502
2001,Utah,2283715
2002,Utah,2324815
2003,Utah,2360137
2004,Utah,2401580
2005,Utah,2457719
2006,Utah,2525507
2007,Utah,2597746
2008,Utah,2663029
2009,Utah,2723421
2010,Utah,2775260
2011,Utah,2815430
2012,Utah,2854222
2013,Utah,2899961
2014,Utah,2938671
2015,Utah,2984917
2016,Utah,3044321
2017,Utah,3101833
,Utah,50200268
1999,Vermont,604683
2000,Vermont,609618
2001,Vermont,612223
2002,Vermont,615442
2003,Vermont,617858
2004,Vermont,619920
2005,Vermont,621215
2006,Vermont,622892
2007,Vermont,623481
2008,Vermont,624151
2009,Vermont,624817
2010,Vermont,625842
2011,Vermont,626210
2012,Vermont,625606
2013,Vermont,626044
2014,Vermont,625665
2015,Vermont,624455
2016,Vermont,623354
2017,Vermont,623657
,Vermont,11797133
1999,Virginia,7000174
2000,Virginia,7105817
2001,Virginia,7198362
2002,Virginia,7286873
2003,Virginia,7366977
2004,Virginia,7475575
2005,Virginia,7577105
2006,Virginia,7673725
2007,Virginia,7751000
2008,Virginia,7833496
2009,Virginia,7925937
2010,Virginia,8025206
2011,Virginia,8107548
2012,Virginia,8188656
2013,Virginia,8261689
2014,Virginia,8316902
2015,Virginia,8366767
2016,Virginia,8414380
2017,Virginia,8470020
,Virginia,148346209
1999,Washington,5842564
2000,Washington,5910512
2001,Washington,5985722
2002,Washington,6052349
2003,Washington,6104115
2004,Washington,6178645
2005,Washington,6257305
2006,Washington,6370753
2007,Washington,6461587
2008,Washington,6562231
2009,Washington,6667426
2010,Washington,6741386
2011,Washington,6819155
2012,Washington,6890899
2013,Washington,6963410
2014,Washington,7046931
2015,Washington,7152818
2016,Washington,7280934
2017,Washington,7405743
,Washington,124694485
1999,West Virginia,1811799
2000,West Virginia,1807021
2001,West Virginia,1801481
2002,West Virginia,1805414
2003,West Virginia,1812295
2004,West Virginia,1816438
2005,West Virginia,1820492
2006,West Virginia,1827912
2007,West Virginia,1834052
2008,West Virginia,1840310
2009,West Virginia,1847775
2010,West Virginia,1854315
2011,West Virginia,1854891
2012,West Virginia,1855360
2013,West Virginia,1852333
2014,West Virginia,1847624
2015,West Virginia,1839767
2016,West Virginia,1828637
2017,West Virginia,1815857
,West Virginia,34773773
1999,Wisconsin,5332666
2000,Wisconsin,5373999
2001,Wisconsin,5406835
2002,Wisconsin,5445162
2003,Wisconsin,5479203
2004,Wisconsin,5514026
2005,Wisconsin,5546166
2006,Wisconsin,5577655
2007,Wisconsin,5610775
2008,Wisconsin,5640996
2009,Wisconsin,5669264
2010,Wisconsin,5690403
2011,Wisconsin,5705812
2012,Wisconsin,5721075
2013,Wisconsin,5736673
2014,Wisconsin,5751272
2015,Wisconsin,5759744
2016,Wisconsin,5772917
2017,Wisconsin,5795483
,Wisconsin,106530126
1999,Wyoming,491780
2000,Wyoming,494300
2001,Wyoming,494657
2002,Wyoming,500017
2003,Wyoming,503453
2004,Wyoming,509106
2005,Wyoming,514157
2006,Wyoming,522667
2007,Wyoming,534876
2008,Wyoming,546043
2009,Wyoming,559851
2010,Wyoming,564376
2011,Wyoming,567602
2012,Wyoming,576608
2013,Wyoming,582341
2014,Wyoming,583334
2015,Wyoming,586102
2016,Wyoming,584910
2017,Wyoming,579315
,Wyoming,10295495
